name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
"Anja JimbaranBadung, 
 
 
 ",Badung,Free Wifi,,,,2.769.230,35,630.000,504,1,08-12-2021
"Rimbun Canggu HotelBadung, 
 
 
 ",Badung,Free Wifi,10I,stimewa,2,1.164.307,35,317.856,254,1,08-12-2021
Pure ,Badung,Free Wifi,,,,14.736.842,5,10.500.000,8400,1,08-12-2021
"HARRIS Hotel Kuta GalleriaBadung, 
 
 
 ",Badung,Free Wifi,8.6,Luar Biasa,10,420.915,5,279.909,223,1,08-12-2021
The Crystal Luxury Bay Resort Nusa Dua - ,Badung,Free Wifi,8.7,Luar Biasa,4,1.357.894,5,536.124,428,1,08-12-2021
"Adiwana Unagi SuitesGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,1.389.056,5,659.802,527,1,08-12-2021
"Watu Jineng by WizZeLaKlungkung, 
 
 
 ",Klungkung,Free Wifi,,,,526.315,5,500.000,400,1,08-12-2021
"Adiwana SuwetaGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,1.110.526,5,527.500,422,1,08-12-2021
"Adiwana Resort JembawanGianyar, 
 
 
 ",Gianyar,Free Wifi,10I,stimewa,1,2.368.421,5,877.500,702,1,08-12-2021
"Adiwana Svarga LokaGianyar, 
 
 
 ",Gianyar,Free Wifi,,,,731.578,5,333.600,266,1,08-12-2021
Stark Boutique Hotel and Spa ,Badung,Free Wifi,8.6,Luar Biasa,39,770.786,35,225.455,180,1,08-12-2021
,Badung,Free Wifi,8.3,Luar Biasa,81,658.000,13,201.500,161,1,08-12-2021
"Moritz Palm VillaBadung, 
 
 
 ",Badung,Free Wifi,,,,12.736.842,5,6.050.000,4840,1,08-12-2021
"Grand Whiz Hotel Nusa DuaBadung, 
 
 
 ",Badung,Free Wifi,9.0,Luar Biasa,12,1.466.526,5,696.600,557,1,08-12-2021
"Mount Batur VillaBangli, 
 
 
 ",Bangli,Free Wifi,9.8,Istimewa,2,1.070.526,5,406.800,325,1,08-12-2021
"HARRIS Hotel & Residences Sunset RoadKuta, 
 
 
 ",Kuta,Free Wifi,8.4,Luar Biasa,50,630.526,5,329.450,263,1,08-12-2021
OYO Flagship 90747 Ransha Stay ,Denpasar,Free Wifi,,,,317.243,5,235.077,188,1,08-12-2021
"POP! Hotel Teuku UmarDenpasar, 
 
 
 ",Denpasar,Free Wifi,8.3,Luar Biasa,81,256.141,5,243.334,194,1,08-12-2021
